epoch,train_loss,val_loss,val_acc,lr
0,1.0797848807974602,0.9046163731628081,0.5833162847790507,0.05
1,0.8809189857106388,0.8516337634498671,0.6022401800327333,0.05
2,0.8372355570249933,0.8339168578630188,0.616688829787234,0.05
3,0.814124028605544,0.8263228928789179,0.6280687397708674,0.05
4,0.7992676927133486,0.8226213625917262,0.6400879705400983,0.05
5,0.7886525657575315,0.820694662154989,0.6495754909983633,0.05
6,0.7805343683580278,0.8196743377492003,0.6594721767594108,0.05
7,0.7740248308190961,0.8191574007126391,0.6667860065466449,0.05
8,0.768621125471399,0.8189397672779627,0.668218085106383,0.05
9,0.7640158498380463,0.8189109773565626,0.6693944353518821,0.05
10,0.7600096635989164,0.8190076422379177,0.6705707855973814,0.05
11,0.7564670958494453,0.8191914296969649,0.671389116202946,0.05
12,0.7532925211416156,0.8194379626046226,0.6713123977086743,0.05
13,0.7504162859308567,0.8197310259611439,0.6706986497545008,0.05
14,0.7477862741106283,0.8200594287262025,0.6700081833060556,0.05
15,0.7453626189389269,0.8204150554981637,0.6691131342062193,0.05
16,0.7431142424313205,0.8207919169369774,0.6686783960720131,0.05
17,0.7410164735348147,0.8211855068924774,0.6672463175122749,0.05
18,0.7390494725594579,0.8215923162997256,0.665532937806874,0.05
19,0.7371970444793117,0.8220095095970041,0.6645100245499181,0.05
20,0.7354458472964056,0.8224348772176939,0.6627966448445172,0.05
21,0.7337847460403458,0.8228666163895603,0.6620038870703764,0.05
22,0.7322043739450079,0.8233032569947688,0.6611088379705401,0.05
23,0.7306967810347282,0.8237435827473767,0.6608275368248773,0.05
24,0.7292551531833591,0.8241866194870195,0.6602649345335515,0.05
25,0.7278736406565351,0.8246314816311027,0.6595233224222586,0.05
26,0.7265471361314813,0.8250775370387126,0.6580912438625205,0.05
27,0.7252711917858085,0.825524191809559,0.6571706219312602,0.05
28,0.7240419125112354,0.8259709534980662,0.6562244271685761,0.05
29,0.7228558427624963,0.8264174446731855,0.6553038052373159,0.05
30,0.7217099076770737,0.8268633148283888,0.6544854746317512,0.05
31,0.720601389376428,0.8273083070101013,0.6540251636661211,0.05
32,0.7195278354606346,0.8277521808486914,0.6530533960720131,0.05
33,0.7184870343284455,0.8281947577253301,0.6526442307692307,0.05
34,0.7174770033930598,0.8286358298529579,0.6526953764320785,0.05
35,0.7164959311127573,0.8290753387000088,0.6525163666121113,0.05
36,0.7155421860781964,0.8295131215487291,0.6522862111292962,0.05
37,0.7146142499506404,0.8299491700095943,0.6522094926350246,0.05
38,0.71371076677712,0.8303833461432137,0.6520049099836334,0.05
39,0.7128304624491062,0.8308156328778805,0.6517236088379705,0.05
40,0.7119721863995716,0.8312459423186931,0.6520304828150573,0.05
41,0.7111348632843264,0.831674334362954,0.651877045826514,0.05
42,0.7103174963381728,0.8321006853139538,0.6517747545008183,0.05
43,0.7095191601643467,0.8325250071706631,0.6516468903436988,0.05
44,0.7087390121265362,0.8329472633508536,0.6517236088379705,0.05
45,0.707976243501307,0.8333674627318125,0.6516213175122749,0.05
46,0.7072301183479186,0.8337855886320436,0.6517491816693944,0.05
47,0.7064999393987037,0.8342016087616329,0.6516980360065466,0.05
48,0.7057850487834451,0.8346155416555764,0.6518003273322422,0.05
49,0.7050848355772104,0.8350273236120196,0.6519537643207856,0.05
