model_family,run_name,ablation,patch_accuracy,patch_macro_f1,patch_bal_acc,patch_macro_auc_ovr,patch_macro_auprc,patch_min_recall_tumor,patch_worst_tumor_class,patient_accuracy,patient_macro_f1,patient_bal_acc,patient_macro_auc_ovr,patient_macro_auprc,patient_min_recall_tumor,patient_worst_tumor_class,n_patients_tumor_eval,val_probe_acc
dino_v3,exp_dino_v3_abl03,abl03,0.607,0.615,0.632,0.883,0.643,0.486,ccRCC,0.750,0.786,0.893,0.920,0.898,0.571,ccRCC,12,0.714
i_jepa,exp_i_jepa_abl03,abl03,0.490,0.464,0.551,0.864,0.590,0.159,ccRCC,0.417,0.354,0.536,0.829,0.791,0.000,ONCO,12,0.671
ibot,exp_ibot_abl04,abl04,0.618,0.529,0.596,0.919,0.704,0.040,ONCO,0.833,0.612,0.714,0.967,0.943,0.000,ONCO,12,0.768
moco_v3,exp_moco_v3_abl03,abl03,0.750,0.736,0.739,0.948,0.812,0.563,pRCC,0.917,0.945,0.964,0.984,0.975,0.857,ccRCC,12,0.798
supervised,exp_supervised,,0.813,0.819,0.819,0.947,0.852,0.555,pRCC,0.833,0.881,0.881,0.960,0.951,0.667,pRCC,12,
transfer,exp_transfer,,0.600,0.595,0.641,0.903,0.750,0.014,ccRCC,0.667,0.800,0.857,0.984,0.975,0.429,ccRCC,12,
